country,religion90,religion00,religion10,religionsequence,,
Sudan,Muslim,Muslim,Muslim,YYY,,
Suriname,none,none,none,NNN,,
Swaziland,Ethno-religion,none,none,YNN,,
Sweden,Protestant,Protestant,none,YYN,,
Switzerland,none,none,none,NNN,,
Syria,Muslim,Muslim,none,YYN,,
Taiwan,Confucian,none,none,YNN,,
Tajikistan,Orthodox,none,Muslim,YNY,,
Tanzania,none,none,none,NNN,,
Thailand,Buddhist,Buddhist,Buddhist,YYY,,
Togo,none,none,none,NNN,,
Tonga,Protestant,Protestant,Protestant,YYY,,
Trinidad and Tobago,none,none,none,NNN,,
Tunisia,Muslim,Muslim,Muslim,YYY,,
Turkey,Muslim,none,none,YNN,,
Turkmenistan,Orthodox,none,Muslim,YNY,,
Uganda,none,none,none,NNN,,
Ukraine,Orthodox,none,Orthodox,YNY,,
United Arab Emirates,Muslim,Muslim,Muslim,YYY,,
United Kingdom,Protestant,Protestant,Protestant,YYY,,
United States,none,none,none,NNN,,
Uruguay,none,none,none,NNN,,
Uzbekistan,Orthodox,none,Muslim,YNY,,
Vanuatu,none,none,Protestant,NNY,,
Venezuela,Catholic,Catholic,Catholic,YYY,,
Vietnam,none,none,none,NNN,,
Yemen,Muslim,Muslim,Muslim,YYY,,
Yugoslavia(Serbia),none,none,none,NNN,,
Zambia,none,none,none,NNN,,
Zimbabwe,none,none,none,NNN,,
